Date	Ticker	Open	High	Low	Close	Volume	Adj Close
2020-11-24	00679B	46.49	46.51	46.33	46.43	670000	46.43
2020-11-24	00687B	48.62	48.68	48.62	48.63	170000	48.63
2020-11-24	00694B	38.37	38.39	38.36	38.38	372000	38.38
2020-11-24	00695B	39.7	39.73	39.63	39.73	359000	39.73
2020-11-24	00696B	48.55	48.6	48.55	48.6	417000	48.6
2020-11-24	00697B	42.25	42.25	42.21	42.24	257000	42.24
2020-11-24	00718B	19.56	19.57	19.5	19.54	456000	19.54
2020-11-24	00719B	30.76	30.8	30.76	30.76	541000	30.76
2020-11-24	00720B	46.95	46.95	46.8	46.82	580000	46.82
2020-11-24	00721B	44.88	44.95	44.88	44.95	507000	44.95
2020-11-24	00722B	50.05	50.05	49.99	50.0	106000	50.0
2020-11-24	00723B	46.82	46.84	46.78	46.83	106000	46.83
2020-11-24	00724B	45.38	45.56	45.38	45.56	149000	45.56
2020-11-24	00725B	45.5	45.5	45.45	45.49	37000	45.49
2020-11-24	00726B	44.55	44.55	44.55	44.55	100000	44.55
2020-11-24	00727B	38.16	38.26	38.16	38.17	107000	38.17
2020-11-24	00734B	21.28	21.39	21.28	21.39	1005000	21.39
2020-11-24	00740B	49.88	49.88	49.84	49.84	460000	49.84
2020-11-24	00741B	37.7	37.79	37.7	37.78	339000	37.78
2020-11-24	00744B	41.1	41.1	41.1	41.1	100000	41.1
2020-11-24	00745B	40.03	40.03	40.02	40.02	100000	40.02
2020-11-24	00746B	47.92	48.1	47.92	48.08	425000	48.08
2020-11-24	00747B	50.15	50.6	50.15	50.45	400000	50.45
2020-11-24	00748B	41.33	41.33	41.33	41.33	100000	41.33
2020-11-24	00749B	47.17	47.17	47.17	47.17	100000	47.17
2020-11-24	00750B	48.06	48.06	48.06	48.06	100000	48.06
2020-11-24	00751B	49.19	49.19	48.94	49.06	807000	49.06
2020-11-24	00754B	49.72	49.72	49.72	49.72	100000	49.72
2020-11-24	00755B	47.55	47.55	47.45	47.45	102000	47.45
2020-11-24	00756B	48.87	49.09	48.87	49.0	122000	49.0
2020-11-24	00758B	62.35	62.35	62.25	62.25	102000	62.25
2020-11-24	00759B	75.45	75.45	75.45	75.45	100000	75.45
2020-11-24	00760B	68.5	68.5	68.5	68.5	100000	68.5
2020-11-24	00761B	50.25	50.45	50.2	50.35	273000	50.35
2020-11-24	00764B	49.58	49.58	49.0	49.06	115000	49.06
2020-11-24	00765B	39.62	39.62	39.62	39.62	100000	39.62
2020-11-24	00768B	78.15	78.15	76.45	77.25	812000	77.25
2020-11-24	00772B	48.36	48.37	48.26	48.37	643000	48.37
2020-11-24	00773B	49.01	49.05	49.01	49.03	214000	49.03
2020-11-24	00777B	47.74	47.74	47.7	47.7	101000	47.7
2020-11-24	00778B	49.2	49.2	49.2	49.2	100000	49.2
2020-11-24	00779B	49.44	49.44	49.44	49.44	100000	49.44
2020-11-24	00780B	42.8	42.8	42.8	42.8	100000	42.8
2020-11-24	00781B	47.9	47.98	47.9	47.95	102000	47.95
2020-11-24	00782B	46.3	46.3	46.27	46.27	102000	46.27
2020-11-24	00784B	39.04	39.04	39.01	39.02	208000	39.02
2020-11-24	00785B	46.78	46.78	46.77	46.77	200000	46.77
