Date	Ticker	Open	High	Low	Close	Volume	Adj Close
2020-11-24	00679B	46.49	46.51	46.33	46.43	31133140	46.43
2020-11-24	00687B	48.62	48.68	48.62	48.63	8271590	48.63
2020-11-24	00694B	38.37	38.39	38.36	38.38	14273850	38.38
2020-11-24	00695B	39.7	39.73	39.63	39.73	14253240	39.73
2020-11-24	00696B	48.55	48.6	48.55	48.6	20261970	48.6
2020-11-24	00697B	42.25	42.25	42.21	42.24	10853630	42.24
2020-11-24	00718B	19.56	19.57	19.5	19.54	8902940	19.54
2020-11-24	00719B	30.76	30.8	30.76	30.76	16647200	30.76
2020-11-24	00720B	46.95	46.95	46.8	46.82	27168730	46.82
2020-11-24	00721B	44.88	44.95	44.88	44.95	22763850	44.95
2020-11-24	00722B	50.05	50.05	49.99	50.0	5300020	50.0
2020-11-24	00723B	46.82	46.84	46.78	46.83	4958980	46.83
2020-11-24	00724B	45.38	45.56	45.38	45.56	6782760	45.56
2020-11-24	00725B	45.5	45.5	45.45	45.49	1682780	45.49
2020-11-24	00726B	44.55	44.55	44.55	44.55	4455000	44.55
2020-11-24	00727B	38.16	38.26	38.16	38.17	4087340	38.17
2020-11-24	00734B	21.28	21.39	21.28	21.39	21413630	21.39
2020-11-24	00740B	49.88	49.88	49.84	49.84	22938400	49.84
2020-11-24	00741B	37.7	37.79	37.7	37.78	12798850	37.78
2020-11-24	00744B	41.1	41.1	41.1	41.1	4110000	41.1
2020-11-24	00745B	40.03	40.03	40.02	40.02	4002500	40.02
2020-11-24	00746B	47.92	48.1	47.92	48.08	20414980	48.08
2020-11-24	00747B	50.15	50.6	50.15	50.45	20187250	50.45
2020-11-24	00748B	41.33	41.33	41.33	41.33	4133000	41.33
2020-11-24	00749B	47.17	47.17	47.17	47.17	4717000	47.17
2020-11-24	00750B	48.06	48.06	48.06	48.06	4806000	48.06
2020-11-24	00751B	49.19	49.19	48.94	49.06	39631380	49.06
2020-11-24	00754B	49.72	49.72	49.72	49.72	4972000	49.72
2020-11-24	00755B	47.55	47.55	47.45	47.45	4850000	47.45
2020-11-24	00756B	48.87	49.09	48.87	49.0	5980150	49.0
2020-11-24	00758B	62.35	62.35	62.25	62.25	6349700	62.25
2020-11-24	00759B	75.45	75.45	75.45	75.45	7545000	75.45
2020-11-24	00760B	68.5	68.5	68.5	68.5	6850000	68.5
2020-11-24	00761B	50.25	50.45	50.2	50.35	13738550	50.35
2020-11-24	00764B	49.58	49.58	49.0	49.06	5646880	49.06
2020-11-24	00765B	39.62	39.62	39.62	39.62	3962000	39.62
2020-11-24	00768B	78.15	78.15	76.45	77.25	62983750	77.25
2020-11-24	00772B	48.36	48.37	48.26	48.37	31084100	48.37
2020-11-24	00773B	49.01	49.05	49.01	49.03	10495240	49.03
2020-11-24	00777B	47.74	47.74	47.7	47.7	4821700	47.7
2020-11-24	00778B	49.2	49.2	49.2	49.2	4920000	49.2
2020-11-24	00779B	49.44	49.44	49.44	49.44	4944000	49.44
2020-11-24	00780B	42.8	42.8	42.8	42.8	4280000	42.8
2020-11-24	00781B	47.9	47.98	47.9	47.95	4890880	47.95
2020-11-24	00782B	46.3	46.3	46.27	46.27	4722540	46.27
2020-11-24	00784B	39.04	39.04	39.01	39.02	8116280	39.02
2020-11-24	00785B	46.78	46.78	46.77	46.77	9355000	46.77
2020-11-24	00786B	45.2	45.69	44.94	45.01	42068280	45.01
2020-11-24	00787B	46.23	46.79	45.98	46.05	36268790	46.05
2020-11-24	00788B	44.84	44.84	44.66	44.69	42191510	44.69
2020-11-24	00789B	71.5	71.5	71.2	71.4	30774400	71.4
2020-11-24	00790B	68.25	68.25	68.25	68.25	6825000	68.25
2020-11-24	00791B	57.5	57.6	57.5	57.6	5817500	57.6
2020-11-24	00792B	46.87	46.87	46.87	46.87	4780740	46.87
2020-11-24	00793B	45.85	45.95	45.85	45.95	4686700	45.95
2020-11-24	00794B	38.87	39.04	38.87	39.04	3981740	39.04
2020-11-24	00795B	46.61	46.7	46.61	46.7	9893970	46.7
2020-11-24	00796B	39.18	39.18	39.17	39.18	8227100	39.18
2020-11-24	00799B	45.2	45.2	45.2	45.2	4565200	45.2
2020-11-24	00831B	37.69	37.69	37.65	37.65	1957880	37.65
